bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,0439785960,9780439785969,eng,652,1944099,26249
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,0439358078,9780439358071,eng,870,1996446,27613
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,0439554934,9780439554930,eng,320,5629932,70390
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,0439554896,9780439554893,eng,352,6267,272
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,9780439655484,eng,435,2149872,33964
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,0439682584,9780439682589,eng,2690,38872,154
9,Unauthorized Harry Potter Book Seven News: "Half-Blood Prince" Analysis and Speculation,W. Frederick Zimmerman,3.69,0976540606,9780976540601,en-US,152,18,1
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,27410,820
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3602,258
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,0345453743,9780345453747,eng,815,240189,3954
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4416,408
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,0739322206,9780739322208,eng,6,1222,253
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,0517149257,9780517149256,en-US,815,2801,192
21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.20,076790818X,9780767908184,eng,544,228522,8840
22,Bill Bryson's African Diary,Bill Bryson,3.43,0767915062,9780767915069,eng,55,6993,470
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,0767910435,9780767910439,eng,256,2020,124
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,68213,4077
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.90,076790382X,9780767903820,eng,304,47490,2153
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,en-US,299,43779,2146
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.87,0380713802,9780380713806,eng,254,46397,2127
28,Notes from a Small Island,Bill Bryson,3.92,0380727501,9780380727506,eng,324,76476,3159
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,0380715430,9780380715435,eng,270,26672,1986
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,97731,1536
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,0618517650,9780618517657,eng,1184,1670,91
