Venue Name,Venue Category,Venue Latitude,Venue Longitude
South Coast Roast,Coffee Shop,50.72091262961102,-1.8790853239738543
DelMarco,Italian Restaurant,50.721370168902226,-1.877221311306135
Lower Gardens,Park,50.71932294552659,-1.878195373421798
Bournemouth Gardens,Park,50.718989612245174,-1.877733145122548
Bournemouth Square,Plaza,50.720155928134176,-1.879563331604004
The Stable,Pizza Place,50.71951690545275,-1.8767633953447544
Starbucks,Coffee Shop,50.720624,-1.879173
7Bone Burger Co.,Burger Joint,50.720069160981,-1.8763665526510716
Central Gardens,Park,50.71967523735879,-1.8791839624786197
Lord Sandwich,Sandwich Place,50.720357,-1.878137
Espresso Kitchen,Coffee Shop,50.72023319723362,-1.8840610398464106
The Gym,Gym,50.71866324843398,-1.8747058510780334
Esquire Coffee,Coffee Shop,50.721469,-1.876114
Hilton Bournemouth,Hotel,50.7189313062865,-1.8806050183560414
Pret A Manger,Sandwich Place,50.72026572980902,-1.8805664946632736
Mad Cucumber,Vegetarian / Vegan Restaurant,50.720177033938455,-1.885087972005126
Five Guys,Burger Joint,50.71900296952858,-1.8798732201188386
The Cosy Club,Comfort Food Restaurant,50.72048115958525,-1.8770530576076891
Bournemouth Beach,Beach,50.71638671902564,-1.8747342538802079
Odeon,Multiplex,50.718972967781276,-1.8798041572970305
Giggi Gelateria,Ice Cream Shop,50.721330957683364,-1.8757836813966773
Patisserie Valerie,Café,50.72029410066081,-1.8781616577078208
The Real Greek,Greek Restaurant,50.719063,-1.879219
Bournemouth Beach (East Cliff Slope),Beach,50.716873785240914,-1.874282599074701
Starbucks,Coffee Shop,50.72039,-1.884166
PureGym,Gym / Fitness Center,50.72087401478224,-1.8840953826839788
Caffè Nero,Coffee Shop,50.720028,-1.8836547
Meyrick Park,Park,50.72806249764638,-1.88185633469139
Tealith,Bubble Tea Shop,50.71990145664961,-1.8840071677836487
NEO,Modern European Restaurant,50.716727,-1.87928
Turtle Bay,Caribbean Restaurant,50.72246860703125,-1.8727712403491699
Smokin' Aces,Cocktail Bar,50.71969499973955,-1.8850768716093915
Koh Thai Tapas,Thai Restaurant,50.71984475651177,-1.888018273694229
The Goat and Tricycle,Pub,50.719326367800825,-1.8876790772659013
Caffè Nero,Coffee Shop,50.72125073698644,-1.8764646745822093
Spice of Lahore,Indian Restaurant,50.72243543992582,-1.8690932878896656
Olive Bistro Cafe,Café,50.71997417538831,-1.8884213833119223
Halo,Nightclub,50.71926708965182,-1.880346110500984
Russell-Cotes Art Gallery & Museum,Art Museum,50.71760416443022,-1.8708512507776471
H&M,Clothing Store,50.72018608158477,-1.8831925433146777
The Green House,Hotel,50.719407213465885,-1.8682665074303488
The Norfolk Hotel,Hotel,50.721509055511426,-1.8789285241858524
Delice Des Champs,French Restaurant,50.71990108444623,-1.8766162587121225
